trip_id,pickup_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,trip_duration_minutes,trip_distance_miles,pickup_zone,dropoff_zone,traffic_level,weather_condition,trip_type,surge_multiplier,fare_amount
TRIP_00000,2024-06-12 03:01:00,40.807491,-73.940986,40.781973,-73.96688,3,5.3,2.22,harlem,upper_east,light,clear,standard,1.21,36.28
TRIP_00001,2024-03-03 07:08:00,40.816649,-73.955753,40.803668,-73.953915,1,4.1,0.9,harlem,harlem,heavy,clear,standard,1.21,39.59
TRIP_00002,2024-01-27 21:47:00,40.729121,-73.984296,40.730285,-73.988152,1,2,0.22,downtown,downtown,light,rain,standard,2.42,47.06
TRIP_00003,2024-01-23 18:27:00,40.706092,-74.01707,40.708803,-74.016339,3,2,0.19,financial_district,financial_district,heavy,clear,standard,1.99,53.64
TRIP_00004,2024-01-08 02:13:00,40.760934,-73.986303,40.815503,-73.94121,3,13.3,4.45,midtown,harlem,moderate,rain,standard,1.29,74.85
TRIP_00005,2024-06-03 00:35:00,40.757774,-73.984573,40.807135,-73.954381,2,9.0,3.76,midtown,harlem,light,clear,standard,1.3,53.1
TRIP_00006,2024-04-17 07:28:00,40.72011,-73.983691,40.78458,-73.954575,1,14.1,4.71,downtown,upper_east,moderate,clear,airport,1.93,164.44
TRIP_00007,2024-01-02 05:44:00,40.77622,-73.983496,40.782751,-73.952256,2,4.1,1.7,upper_west,upper_east,light,clear,standard,1.17,32.94
TRIP_00008,2024-03-12 04:13:00,40.780455,-73.961449,40.772158,-73.969371,1,2,0.71,upper_east,upper_east,light,clear,shared,1.07,17.39
TRIP_00009,2024-01-27 02:24:00,40.704576,-74.017691,40.703224,-73.992109,3,4.0,1.34,financial_district,financial_district,moderate,rain,airport,1.28,88.15
TRIP_00010,2024-04-01 11:38:00,40.786149,-73.952078,40.772201,-73.965441,3,3.6,1.19,upper_east,upper_east,moderate,rain,standard,1.77,47.39
TRIP_00011,2024-01-12 23:29:00,40.722397,-73.993248,40.706464,-74.004436,5,3.0,1.25,downtown,financial_district,light,clear,shared,1.25,21.43
TRIP_00012,2024-04-06 02:35:00,40.775697,-73.969262,40.780054,-73.96897,1,2,0.3,upper_east,upper_east,light,fog,standard,1.49,40.03
TRIP_00013,2024-06-09 19:56:00,40.783443,-73.954768,40.784564,-73.962644,1,2,0.42,upper_east,upper_east,heavy,clear,standard,2.25,83.07
TRIP_00014,2024-05-27 06:45:00,40.700816,-74.002273,40.700332,-74.004637,1,2,0.13,financial_district,financial_district,light,rain,standard,1.58,28.27
TRIP_00015,2024-01-12 21:14:00,40.776821,-73.967731,40.717547,-74.012262,1,14.1,4.71,upper_east,financial_district,moderate,snow,standard,1.36,77.09
TRIP_00016,2024-02-29 03:24:00,40.788008,-73.957338,40.776984,-73.955481,2,2.3,0.77,upper_east,upper_east,moderate,snow,standard,1.13,37.67
TRIP_00017,2024-04-26 20:53:00,40.782129,-73.969816,40.78327,-73.969899,2,2,0.08,upper_east,upper_east,light,clear,standard,1.22,20.45
TRIP_00018,2024-02-11 11:22:00,40.756508,-73.97507,40.766984,-73.976848,1,2.2,0.73,midtown,midtown,moderate,clear,standard,1.07,27.59
TRIP_00019,2024-06-20 08:44:00,40.817841,-73.947377,40.710053,-74.002693,2,36.0,7.99,harlem,financial_district,heavy,clear,standard,1.04,106.3
TRIP_00020,2024-06-04 20:10:00,40.738809,-73.980921,40.757403,-73.989691,4,6.1,1.36,downtown,midtown,heavy,clear,shared,1.26,28.14
TRIP_00021,2024-02-11 14:24:00,40.787023,-73.963662,40.781136,-73.951277,1,2.3,0.77,upper_east,upper_east,moderate,rain,standard,2.49,68.1
