id,title,address,town,state,postcode,country,lat,lon,operator,status,num_connectors,connector_types,date_added
462769,Electra - Wambrechies - Volfoni,81 Av. Clément Ader,Wambrechies,,59118,FR,50.6856527479799,3.0624104228837723,Electra,Operational,2,CCS (Type 2)|Type 2 (Socket Only),2025-11-02 09:58:00+00:00
462768,Electra - Tourcoing - Action,185 rue du Touquet,Tourcoing,,59200,FR,50.723170847779386,3.1806363703025227,Electra,Operational,3,CCS (Type 2)|CHAdeMO|Type 2 (Socket Only),2025-11-02 09:55:00+00:00
462767,Electra - Bondues - Sure Hotel by Best Western Lille Tourcoing,3 Av. Henri Becquerel,Bondues,,59910,FR,50.722535304716985,3.1294960074308165,Electra,Operational,2,CCS (Type 2)|Type 2 (Socket Only),2025-11-02 09:50:00+00:00
462766,Electra - Bousbecque - Intermarché,Rue Auger,Bousbecque,,59166,FR,50.77013919273634,3.0834544961079473,Electra,Operational,2,CCS (Type 2)|Type 2 (Socket Only),2025-11-02 09:46:00+00:00
462765,Electra - Halluin - Intermarché,Boulevard de Roncq,Halluin,,59250,FR,50.769938069594645,3.1240298745922246,Electra,Operational,2,CCS (Type 2)|Type 2 (Socket Only),2025-11-02 09:42:00+00:00
462763,Ayunt. El Palau d'Anglesola,El Palau d'Anglesola,El Palau d'Anglesola,,,ES,41.6485021075361,0.8768075184850659,eTecnic,Operational,1,Type 2 (Socket Only),2025-11-02 07:14:00+00:00
462762,Energia Nufri,Mollerusa,Mollerusa,,,ES,41.640456638661874,0.8866282164026416,eTecnic,Operational,1,CCS (Type 2),2025-11-02 07:08:00+00:00
462761,Hotel Jardí,Mollerusa,Mollerusa,,,ES,41.631459017537054,0.896504733154643,(Business Owner at Location),Operational,1,Type 2 (Socket Only),2025-11-02 07:05:00+00:00
462760,Ayunt. Miralcamp,Miralcamp,Miralcamp,,,ES,41.606142794580705,0.881104052848741,eTecnic,Operational,1,Type 2 (Socket Only),2025-11-02 07:01:00+00:00
462759,Ayunt. Arbeca,Arbeca,Arbeca,,,ES,41.542112663876,0.924948337314845,eTecnic,Operational,1,Type 2 (Socket Only),2025-11-02 06:59:00+00:00
462744,Electra - Fouquières-les-Bethune - Boulangerie,Zone actipolis,Fouquières-les-Bethune,,62232,FR,50.511587298815414,2.6209277841594485,Electra,Operational,2,CCS (Type 2)|Type 2 (Socket Only),2025-11-02 00:06:00+00:00
462743,Electra - Le Touquet-Paris-Plage - Hôtel Ibis,4 avenue Louison Bobet,Le Touquet-Paris-Plage,,62520,FR,50.51602001141006,1.5787738531715831,Electra,Operational,2,CCS (Type 2)|Type 2 (Socket Only),2025-11-02 00:00:00+00:00
462742,Electra - Calais - Burger King,124 avenue Antoine de Saint-Exupéry,Calais,,62100,FR,50.94549670693155,1.8981091240312935,Electra,Operational,2,CCS (Type 2)|Type 2 (Socket Only),2025-11-01 23:53:00+00:00
462735,Hotel B&B Tarragona Valls,Valls,Valls,,,ES,41.299308869916615,1.2615383473532802,(Business Owner at Location),Operational,1,Type 2 (Socket Only),2025-11-01 19:34:00+00:00
462734,Tesla Supercharger Sévérac-d'Aveyron,Aire de l'Aveyron,Sévérac-d'Aveyron,,12150,FR,44.32906284511972,3.0803441121574906,Tesla (including non-tesla),Operational,1,CCS (Type 2),2025-11-01 19:30:00+00:00
